Channel_id,House_id,User_id,Timestamp,Age,Gender,Emotion
1,1,1,2020-05-26 10:16:29.366251,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:29.544299,"(48, 59)",Male,Happy
1,1,1,2020-05-26 10:16:29.626643,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:29.798719,"(0, 3)",Male,Angry
1,1,1,2020-05-26 10:16:29.881496,"(48, 59)",Male,Disgust
1,1,0,2020-05-26 10:16:30.051570,"(0, 3)",Male,Angry
1,1,1,2020-05-26 10:16:30.133463,"(48, 59)",Male,Surprised
1,1,0,2020-05-26 10:16:30.307010,"(8, 14)",Male,Angry
1,1,1,2020-05-26 10:16:30.394093,"(48, 59)",Male,Surprised
1,1,1,2020-05-26 10:16:30.787456,"(25, 32)",Male,Angry
1,1,1,2020-05-26 10:16:31.035792,"(15, 24)",Male,Angry
1,1,1,2020-05-26 10:16:31.205339,"(15, 24)",Male,Sad
1,1,1,2020-05-26 10:16:31.393894,"(15, 24)",Male,Angry
1,1,1,2020-05-26 10:16:31.593597,"(15, 24)",Male,Angry
1,1,1,2020-05-26 10:16:31.793092,"(15, 24)",Male,Angry
1,1,1,2020-05-26 10:16:31.991828,"(15, 24)",Male,Angry
1,1,1,2020-05-26 10:16:32.192458,"(15, 24)",Male,Angry
1,1,1,2020-05-26 10:16:32.369984,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:32.589435,"(25, 32)",Male,Angry
1,1,1,2020-05-26 10:16:32.762045,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:32.935585,"(48, 59)",Male,Happy
1,1,1,2020-05-26 10:16:33.017363,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:33.282690,"(48, 59)",Male,Sad
1,1,1,2020-05-26 10:16:33.373667,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:33.553966,"(4, 7)",Male,Sad
1,1,1,2020-05-26 10:16:33.636742,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:33.806818,"(4, 7)",Female,Sad
1,1,1,2020-05-26 10:16:33.888257,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:34.062790,"(4, 7)",Male,Sad
1,1,1,2020-05-26 10:16:34.146597,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:34.320148,"(4, 7)",Male,Sad
